Country,Region,Population,Area,GDP,Literacy,Location_Initials
Burkina Faso,SUB-SAHARAN AFRICA,13902972,274200,1100,"26,6",B
Burma,ASIA (EX. NEAR EAST),47382633,678500,1800,"85,3",B
Burundi,SUB-SAHARAN AFRICA,8090068,27830,600,"51,6",B
Cambodia,ASIA (EX. NEAR EAST),13881427,181040,1900,"69,4",C
Cameroon,SUB-SAHARAN AFRICA,17340702,475440,1800,"79,0",C
Canada,NORTHERN AMERICA,33098932,9984670,29800,"97,0",C
Cape Verde,SUB-SAHARAN AFRICA,420979,4033,1400,"76,6",C
Cayman Islands,LATIN AMER. & CARIB,45436,262,35000,"98,0",C
Central African Rep.,SUB-SAHARAN AFRICA,4303356,622984,1100,"51,0",C
Chad,SUB-SAHARAN AFRICA,9944201,1284000,1200,"47,5",C
Chile,LATIN AMER. & CARIB,16134219,756950,9900,"96,2",C
China,ASIA (EX. NEAR EAST),1313973713,9596960,5000,"90,9",C
Colombia,LATIN AMER. & CARIB,43593035,1138910,6300,"92,5",C
Comoros,SUB-SAHARAN AFRICA,690948,2170,700,"56,5",C
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA,62660551,2345410,700,"65,5",C
"Congo, Repub. of the ",SUB-SAHARAN AFRICA,3702314,342000,700,"83,8",C
Cook Islands,OCEANIA,21388,240,5000,"95,0",C
Costa Rica,LATIN AMER. & CARIB,4075261,51100,9100,"96,0",C
Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843,322460,1400,"50,9",C
Croatia,EASTERN EUROPE,4494749,56542,10600,"98,5",C
Cuba,LATIN AMER. & CARIB,11382820,110860,2900,"97,0",C
Cyprus,NEAR EAST,784301,9250,19200,"97,6",C
Czech Republic,EASTERN EUROPE,10235455,78866,15700,"99,9",C
Denmark,WESTERN EUROPE,5450661,43094,31100,"100,0",D
Djibouti,SUB-SAHARAN AFRICA,486530,23000,1300,"67,9",D
Dominica,LATIN AMER. & CARIB,68910,754,5400,"94,0",D
Dominican Republic,LATIN AMER. & CARIB,9183984,48730,6000,"84,7",D
East Timor,ASIA (EX. NEAR EAST),1062777,15007,500,"58,6",E
Ecuador,LATIN AMER. & CARIB,13547510,283560,3300,"92,5",E
Egypt,NORTHERN AFRICA,78887007,1001450,4000,"57,7",E
El Salvador,LATIN AMER. & CARIB,6822378,21040,4800,"80,2",E
